Flight Schedule:
Flight: 1, departure: YUL, arrival: YYZ, day: 1
Flight: 2, departure: YUL, arrival: YYC, day: 1
Flight: 3, departure: YUL, arrival: YVR, day: 1
Flight: 4, departure: YUL, arrival: YYZ, day: 2
Flight: 5, departure: YUL, arrival: YYC, day: 2
Flight: 6, departure: YUL, arrival: YVR, day: 2

Order Itineraries:
Order: order-001, FlightNumber: 1, Departure: YUL, Arrival: YYZ, Day: 1
Order: order-002, FlightNumber: 1, Departure: YUL, Arrival: YYZ, Day: 1
Order: order-003, FlightNumber: 1, Departure: YUL, Arrival: YYZ, Day: 1
Order: order-004, FlightNumber: 1, Departure: YUL, Arrival: YYZ, Day: 1
Order: order-005, FlightNumber: 1, Departure: YUL, Arrival: YYZ, Day: 1
Order: order-006, FlightNumber: 1, Departure: YUL, Arrival: YYZ, Day: 1
Order: order-007, FlightNumber: 1, Departure: YUL, Arrival: YYZ, Day: 1
Order: order-008, FlightNumber: 1, Departure: YUL, Arrival: YYZ, Day: 1
Order: order-009, FlightNumber: 1, Departure: YUL, Arrival: YYZ, Day: 1
Order: order-010, FlightNumber: 1, Departure: YUL, Arrival: YYZ, Day: 1
Order: order-011, FlightNumber: 1, Departure: YUL, Arrival: YYZ, Day: 1
Order: order-012, FlightNumber: 1, Departure: YUL, Arrival: YYZ, Day: 1
Order: order-013, FlightNumber: 1, Departure: YUL, Arrival: YYZ, Day: 1
Order: order-014, FlightNumber: 1, Departure: YUL, Arrival: YYZ, Day: 1
Order: order-015, FlightNumber: 1, Departure: YUL, Arrival: YYZ, Day: 1
Order: order-016, FlightNumber: 1, Departure: YUL, Arrival: YYZ, Day: 1
Order: order-017, FlightNumber: 1, Departure: YUL, Arrival: YYZ, Day: 1
Order: order-018, FlightNumber: 1, Departure: YUL, Arrival: YYZ, Day: 1
Order: order-019, FlightNumber: 1, Departure: YUL, Arrival: YYZ, Day: 1
Order: order-020, FlightNumber: 1, Departure: YUL, Arrival: YYZ, Day: 1
Order: order-021, FlightNumber: 4, Departure: YUL, Arrival: YYZ, Day: 2
Order: order-022, FlightNumber: 4, Departure: YUL, Arrival: YYZ, Day: 2
Order: order-023, FlightNumber: 4, Departure: YUL, Arrival: YYZ, Day: 2
Order: order-024, FlightNumber: 4, Departure: YUL, Arrival: YYZ, Day: 2
Order: order-025, FlightNumber: 4, Departure: YUL, Arrival: YYZ, Day: 2
Order: order-026, FlightNumber: 4, Departure: YUL, Arrival: YYZ, Day: 2
Order: order-027, FlightNumber: 4, Departure: YUL, Arrival: YYZ, Day: 2
Order: order-028, FlightNumber: 4, Departure: YUL, Arrival: YYZ, Day: 2
Order: order-029, FlightNumber: 4, Departure: YUL, Arrival: YYZ, Day: 2
Order: order-030, FlightNumber: 4, Departure: YUL, Arrival: YYZ, Day: 2
Order: order-031, FlightNumber: 4, Departure: YUL, Arrival: YYZ, Day: 2
Order: order-032, FlightNumber: 4, Departure: YUL, Arrival: YYZ, Day: 2
Order: order-033, FlightNumber: 4, Departure: YUL, Arrival: YYZ, Day: 2
Order: order-034, FlightNumber: 4, Departure: YUL, Arrival: YYZ, Day: 2
Order: order-035, FlightNumber: 2, Departure: YUL, Arrival: YYC, Day: 1
Order: order-036, FlightNumber: 2, Departure: YUL, Arrival: YYC, Day: 1
Order: order-037, FlightNumber: 2, Departure: YUL, Arrival: YYC, Day: 1
Order: order-038, FlightNumber: 2, Departure: YUL, Arrival: YYC, Day: 1
Order: order-039, FlightNumber: 2, Departure: YUL, Arrival: YYC, Day: 1
Order: order-040, FlightNumber: 2, Departure: YUL, Arrival: YYC, Day: 1
Order: order-041, FlightNumber: 2, Departure: YUL, Arrival: YYC, Day: 1
Order: order-042, FlightNumber: 2, Departure: YUL, Arrival: YYC, Day: 1
Order: order-043, FlightNumber: 2, Departure: YUL, Arrival: YYC, Day: 1
Order: order-044, FlightNumber: 2, Departure: YUL, Arrival: YYC, Day: 1
Order: order-045, FlightNumber: 2, Departure: YUL, Arrival: YYC, Day: 1
Order: order-046, FlightNumber: 2, Departure: YUL, Arrival: YYC, Day: 1
Order: order-047, FlightNumber: 2, Departure: YUL, Arrival: YYC, Day: 1
Order: order-048, FlightNumber: 2, Departure: YUL, Arrival: YYC, Day: 1
Order: order-049, FlightNumber: not scheduled
Order: order-050, FlightNumber: 2, Departure: YUL, Arrival: YYC, Day: 1
Order: order-051, FlightNumber: not scheduled
Order: order-052, FlightNumber: 2, Departure: YUL, Arrival: YYC, Day: 1
Order: order-053, FlightNumber: not scheduled
Order: order-054, FlightNumber: 2, Departure: YUL, Arrival: YYC, Day: 1
Order: order-055, FlightNumber: 2, Departure: YUL, Arrival: YYC, Day: 1
Order: order-056, FlightNumber: 2, Departure: YUL, Arrival: YYC, Day: 1
Order: order-057, FlightNumber: 2, Departure: YUL, Arrival: YYC, Day: 1
Order: order-060, FlightNumber: 5, Departure: YUL, Arrival: YYC, Day: 2
Order: order-061, FlightNumber: 5, Departure: YUL, Arrival: YYC, Day: 2
Order: order-062, FlightNumber: 3, Departure: YUL, Arrival: YVR, Day: 1
Order: order-063, FlightNumber: 3, Departure: YUL, Arrival: YVR, Day: 1
Order: order-064, FlightNumber: 3, Departure: YUL, Arrival: YVR, Day: 1
Order: order-065, FlightNumber: 3, Departure: YUL, Arrival: YVR, Day: 1
Order: order-066, FlightNumber: 3, Departure: YUL, Arrival: YVR, Day: 1
Order: order-067, FlightNumber: 3, Departure: YUL, Arrival: YVR, Day: 1
Order: order-068, FlightNumber: 3, Departure: YUL, Arrival: YVR, Day: 1
Order: order-069, FlightNumber: 3, Departure: YUL, Arrival: YVR, Day: 1
Order: order-070, FlightNumber: 3, Departure: YUL, Arrival: YVR, Day: 1
Order: order-071, FlightNumber: 3, Departure: YUL, Arrival: YVR, Day: 1
Order: order-072, FlightNumber: 3, Departure: YUL, Arrival: YVR, Day: 1
Order: order-073, FlightNumber: 3, Departure: YUL, Arrival: YVR, Day: 1
Order: order-074, FlightNumber: 3, Departure: YUL, Arrival: YVR, Day: 1
Order: order-075, FlightNumber: 3, Departure: YUL, Arrival: YVR, Day: 1
Order: order-076, FlightNumber: 3, Departure: YUL, Arrival: YVR, Day: 1
Order: order-077, FlightNumber: 3, Departure: YUL, Arrival: YVR, Day: 1
Order: order-078, FlightNumber: 3, Departure: YUL, Arrival: YVR, Day: 1
Order: order-080, FlightNumber: 3, Departure: YUL, Arrival: YVR, Day: 1
Order: order-081, FlightNumber: 3, Departure: YUL, Arrival: YVR, Day: 1
Order: order-082, FlightNumber: 3, Departure: YUL, Arrival: YVR, Day: 1
Order: order-083, FlightNumber: 6, Departure: YUL, Arrival: YVR, Day: 2
Order: order-084, FlightNumber: 6, Departure: YUL, Arrival: YVR, Day: 2
Order: order-085, FlightNumber: 6, Departure: YUL, Arrival: YVR, Day: 2
Order: order-086, FlightNumber: 6, Departure: YUL, Arrival: YVR, Day: 2
Order: order-087, FlightNumber: 6, Departure: YUL, Arrival: YVR, Day: 2
Order: order-088, FlightNumber: 6, Departure: YUL, Arrival: YVR, Day: 2
Order: order-089, FlightNumber: 6, Departure: YUL, Arrival: YVR, Day: 2
Order: order-090, FlightNumber: 6, Departure: YUL, Arrival: YVR, Day: 2
Order: order-091, FlightNumber: 6, Departure: YUL, Arrival: YVR, Day: 2
Order: order-092, FlightNumber: 6, Departure: YUL, Arrival: YVR, Day: 2
Order: order-093, FlightNumber: 6, Departure: YUL, Arrival: YVR, Day: 2
Order: order-094, FlightNumber: 6, Departure: YUL, Arrival: YVR, Day: 2
Order: order-095, FlightNumber: 6, Departure: YUL, Arrival: YVR, Day: 2
Order: order-096, FlightNumber: 6, Departure: YUL, Arrival: YVR, Day: 2
Order: order-097, FlightNumber: 6, Departure: YUL, Arrival: YVR, Day: 2
Order: order-098, FlightNumber: 6, Departure: YUL, Arrival: YVR, Day: 2
Order: order-099, FlightNumber: 6, Departure: YUL, Arrival: YVR, Day: 2
